value,R,G,B
0,32993613,32088528,5728980
1,43423,379689,395
2,20860,142257,6061308
3,13118,96725,206
4,9853,56330,3755982
5,7064,44973,216
6,5587,27710,7638516
7,4534,31743,184
8,3892,19990,3288746
9,3666,17584,128
10,3050,10691,1825124
11,2400,14837,153
12,2571,13289,1049165
13,2071,8021,96
14,2053,11304,733277
15,1797,7099,117
16,1364,6484,491918
17,1810,9189,100
18,1238,5650,377954
19,1203,5280,122
20,1614,5034,90
21,921,4800,277391
22,1130,4689,126
23,1063,4228,228161
24,1156,4068,96
25,777,4030,173647
26,1000,3866,82
27,670,3552,149726
28,912,3601,68
29,720,3467,120212
30,664,3244,75
31,566,1412,104889
32,901,3090,91
33,628,2911,86824
34,661,2625,81
35,542,1386,78169
36,639,2606,64975
37,602,2491,89
38,381,1357,59645
39,568,2356,99
40,521,2281,51104
41,582,1149,68
42,367,2283,47311
43,537,2103,88
44,449,1054,40632
45,364,2126,65
46,507,981,38338
47,434,1948,89
48,287,1915,33057
49,494,897,96
50,299,1700,31818
51,447,878,75
52,269,1744,28107
53,274,862,26259
54,479,1587,118
55,259,813,23341
56,405,1606,56
57,310,791,22920
58,332,1583,74
59,360,729,20180
60,290,1459,58
61,204,738,19420
62,320,1466,17650
63,383,653,67
64,246,1351,16953
65,259,681,52
66,261,678,15208
67,219,1302,78
68,296,682,14796
69,225,1260,13575
70,279,628,116
71,220,1134,13032
72,241,645,82
73,184,560,12268
74,188,1048,98
75,229,587,11635
76,207,1071,10846
77,279,512,115
78,210,584,10470
79,230,1031,92
80,188,562,9497
81,231,994,9606
82,193,558,61
83,207,555,8778
84,219,1107,8788
85,177,480,88
86,230,935,8044
87,185,460,84
88,169,445,7876
89,200,933,7322
90,163,427,79
91,183,436,7311
92,162,865,6567
93,167,403,133
94,188,904,6352
95,173,419,91
96,92,406,5987
97,158,838,6086
98,169,488,96
99,200,417,5724
100,209,702,5697
101,162,400,82
102,174,380,5151
103,99,747,5090
104,173,339,95
105,130,374,4845
106,181,757,5126
107,138,377,100
108,209,786,4617
109,89,351,4746
110,128,335,4181
111,175,652,111
112,156,327,4240
113,124,324,3961
114,94,657,102
115,174,361,4002
116,163,380,3778
117,176,648,3740
118,141,354,103
119,70,656,3562
120,163,336,3685
121,157,312,75
122,149,599,3313
123,71,318,3295
124,142,272,3170
125,124,629,142
126,180,293,3265
127,174,677,3024
128,62,249,3057
129,123,311,2730
130,163,548,111
131,135,307,2920
132,79,277,2563
133,181,555,2697
134,143,246,110
135,119,513,2474
136,87,245,2573
137,105,215,2432
138,173,523,2577
139,115,245,2313
140,84,527,124
141,131,262,2364
142,140,232,2006
143,66,495,2174
144,123,239,2133
145,124,428,2196
146,126,294,135
147,65,458,2053
148,162,258,2043
149,134,471,1944
150,129,250,1894
151,86,230,1931
152,107,480,1956
153,137,221,1864
154,141,389,1905
155,74,239,1807
156,145,481,1823
157,96,218,75
158,101,459,1660
159,81,198,1529
160,95,466,1655
161,134,226,1726
162,108,397,1614
163,122,196,1548
164,56,396,1439
165,108,217,1452
166,113,454,1502
167,138,211,1354
168,80,412,1482
169,116,382,2596
170,117,184,1499
171,105,407,1250
172,128,170,1343
173,72,393,1338
174,128,200,1240
175,122,333,1294
176,104,352,1359
177,132,175,1257
178,99,389,2205
179,60,358,1195
180,111,182,1162
181,123,350,1280
182,113,318,1199
183,109,190,2084
184,91,346,1069
185,108,344,1147
186,77,351,1038
187,146,173,1823
188,119,344,1037
189,143,339,1123
190,96,381,1920
191,103,229,985
192,112,297,956
193,118,302,1812
194,100,300,1050
195,97,332,1757
196,108,369,996
197,87,322,1696
198,129,149,980
199,99,320,1602
200,93,322,1647
201,96,308,893
202,133,262,1663
203,90,254,1528
204,89,469,1571
205,156,295,864
206,105,295,1541
207,134,270,1449
208,107,258,1396
209,101,286,1465
210,141,301,1417
211,154,496,1342
212,96,293,2012
213,110,303,1454
214,126,389,1426
215,113,271,2007
216,116,431,1468
217,110,298,1703
218,125,392,1878
219,153,386,1847
220,159,228,1811
221,80,401,2262
222,153,356,1827
223,140,379,2671
224,113,403,2404
225,192,350,3219
226,143,518,3173
227,146,483,5349
228,128,498,7578
229,203,354,0
230,206,493,0
231,118,645,0
232,213,487,0
233,186,604,0
234,154,650,0
235,217,759,0
236,227,955,0
237,246,1018,0
238,304,2234,0
239,352,626,0
240,427,0,0
241,843,0,0
242,232,0,0
243,0,0,0
244,0,0,0
245,0,0,0
246,0,0,0
247,0,0,0
248,0,0,0
249,0,0,0
250,0,0,0
251,0,0,0
252,0,0,0
253,0,0,0
254,0,0,0
255,0,0,0
